,Listeria_phage_LP-125,Serratia_phage_phiMAM1,Vibrio_phage_vB_VpaS_MAR10,Mycobacterium_phage_Myrna,Xanthomonas_phage_vB_XveM_DIBBI,Synechococcus_phage_S-SM2,Vibrio_phage_vB_VchM-138,Rhodococcus_phage_E3,Synechococcus_phage_S-SSM7,Viunalikevirus,Pseudomonas_phage_OBP,Edwardsiella_phage_PEi2,Prochlorococcus_phage_MED4-213,Campylobacter_phage_CP21,Bdellovibrio_phage_phi1422,Vibrio_phage_CP-T1,Hapunalikevirus,Salmonella_phage_FSL_SP-004,Cellulophaga_phage_phiSM,Klebsiella_phage_0507-KN2-1,Vibrio_phage_VPUSM_8,Vibrio_phage_vB_VpaM_MAR,Rhizobium_phage_RR1-A,Lactobacillus_phage_Lb338-1,I3likevirus,Pseudomonas_phage_Lu11,Burkholderia_phage_KS10,Salmonella_phage_RE-2010,Yersinia_phage_phiR1-37,Thermus_phage_TMA,Iodobacteriophage_phiPLPE,Mannheimia_phage_vB_MhM_1152AP,Cronobacter_phage_CR3,Erwinia_phage_phiEt88,Bacillus_phage_SP10,Pelagibacter_phage_HTVC008M,Haemophilus_phage_Aaphi23,Felixounalikevirus,Lactobacillus_phage_KC5a,Synechococcus_phage_S-RIM2,Clostridium_phage_phiMMP02,Cronobacter_phage_ENT47670,Psychrobacter_phage_pOW20-A,Bacillus_phage_CampHawk,Bacillus_phage_BCP78,Phikzlikevirus,Aggregatibacter_phage_S1249,Lactobacillus_phage_phiAQ113,Bcep78likevirus,Burkholderia_phage_BcepB1A,Cronobacter_phage_vB_CsaM_GAP32,Pseudomonas_phage_PaBG,Rhodothermus_phage_RM378,Enterobacteria_phage_phiP27,Erwinia_phage_ENT90,Bacillus_phage_0305phi8-36,Pectobacterium_phage_ZF40,Aeromonas_phage_vB_AsaM-56,Ralstonia_phage_RSL1,Clostridium_phage_phiMMP04,VHML-like_phages,Mulikevirus,Bacillus_phage_BCD7,Streptococcus_phage_EJ-1,Escherichia_phage_phAPEC8,Bcepmulikevirus,Sphingomonas_phage_PAU,Enterobacteria_phage_SfV,Shigella_phage_SfII,Spounavirinae,Clostridium_phage_c-st,Peduovirinae,Tevenvirinae,PhiCD119likevirus,Punalikevirus,Shigella_phage_SfIV
16099_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,21,0,0,0
16100_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,24,0,0,42,0,0,0
16101_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,53,0,0
16102_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,40,0,0,0,0,0,35,0,0,48,137,0,31,0,0,0
16103_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,43,0,0,0,0
16104_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16105_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,67,0,78,0,0,0,0,86,0,66,0,0,31,0,0,0,0,141,0,81,0,0,21,0,0,0,147,158,40,85,132,0,0
16106_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16107_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,46,0,123,0,0,0,0,72,0,0,0,0,0,0,0,0,0,51,25,129,0,0,21,0,0,0,0,49,0,20,0,20,20,22,0,79,0,0,0,167,34,119,75,203,0,0
16108_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,30,0,0,31,194,0,39,93,0,0
16110_Chi_Healthy,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,53,90,0,48,0,0,0,0,0,0,0,0,0,64,0,0,33,0,0,0,0,0,32,0,0,108,61,0,0
